animal,content,_id
호랑이,아무리 사정이 여의치 않다고 해도 타인의 도움은 사양하는 것이 좋은 한 주입니다. 후에 몇 배로 큰 수고로 빚을 갚아야 할지도 모르기 때문입니다.,
호랑이,겉보기에 평탄하고 안락한 한 달이 예상됩니다. 그러다 보면 우려하는 대로 현실에 안주하는 성향을 띠지 않을 수 없게 될 것입니다. 인간은 편안한 상태에 안주하려 하기 마련이니까요. 그러나 가장 주의해야 할 것은 그 안일함입니다. 머지않아 곤란한 일이 찾아들 기미가 엿보이는군요.,
토끼,"마음 푹 놓고 쉬는 것이 이롭다. 자신의 역량을 최대한 발휘할 수 있는 상황이 아니라면, 자제하고 내일을 기약하는 것이 현명한 하루이다. 자기계발에 투자하기 좋은 날이다. 연애 중이라면 오늘 이성교제는 신중을 기하는 게 좋겠다.",
토끼,외모에 신경 쓰기보다는 내면을 충실히 가꾸는 데 힘을 쏟는 게 좋겠다. 건강은 살아가는 데 최고의 자산이니 잘 관리해야 할 것이다. 그동안 돌보지 못한 몸에 투자하라. 자신에게 정작 중요한 것이 무엇인지 깊이 심사숙고 하여 실행에 옮겨야 하는 날이다.,
토끼,부자의 말 등을 부러지게 하는 것은 마지막 깃털이랍니다. 마지막에 욕심을 부려 다된 일에 재를 뿌리게 될 수 있습니다. 자중하시기 바랍니다. 창작을 해야하는 사람은 일하는 과정에서 다툼이 될 수 있으니 조심하는 게 좋습니다.,
토끼,당신의 말과 행동에 크게 신경 쓰지 않을 수 없는 한 달이 될 것입니다. 이즈음 유독 당신에게 사람들의 이목이 집중됩니다. 사소한 경우라도 사람들을 홀대하거나 흠을 잡히는 실수를 저지른다면 그 곤란이 적지 않겠습니다. 그러니 매사에 신중하고 바른 처신과 행동거지가 각별히 요구될 것입니다,
용,"삼각관계나 이성 문제로 속상할 일이 생길 수 있는데, 이에 대한 해결방법은 정직하게 상대를 대하는 게 최상의 방법이 되겠다. 문을 닫고 조용히 있는 게 여러모로 유리한 하루이다. 사업가는 재무관리에서 허점을 보일 수 있으니, 믿을 수 있는 사람으로 교체할 필요가 있다.",
용,어려운 일에 처한 상황이라면 가장 절실하게 필요한 것은 당신의 정신력이다. 이에 미리 약간의 휴식이나 기분전환 할 수 있는 것을 찾는 게 좋겠다. 나가는 금전을 생각하기 보다는 들어올 금전을 생각하며 처신한다면 생각보다 빨리 눈 앞에 서광이 비출 것이다.,
용,반드시 시간을 가지고 생각해야 할 일이 생기게 됩니다. 서두르면 될 일도 안 되는 한 주입니다. 꼬리가 다스리는 곳에는 머리가 헤매기 마련입니다. 질서를 바로 잡으십시오.,
용,허탈함을 느끼기 쉬운 한 달입니다. 당신이 들인 수고와 노력에 비해 나타나는 성과는 지극히 미미하군요. 운동 선수에게 찾아오는 슬럼프처럼 그 시간을 지나기는 고통스러워도 일단 극복해 낸다면 비약적인 발전이 약속됩니다. 당장 눈에 보이는 결과에 허무해 할 것이 아니라 긴 안목으로 최선을 다하십시오.,
뱀,욕심도 부릴 수 있을 때 부리는 게 현실적으로 유리하다. 세상을 살아가는데 돈이라는 게 많이 필요하지 않으나 필요한 요소다. 다른 사람의 눈치를 볼 필요는 없다. 자신에게 주어진 많은 것을 거둬들이기 위해 분주하게 노력해야 하는 날이다. 열 가지 모두 뜻 한대로 될 것이다.,
뱀,자신에게 정작 필요한 일이 무엇인지 생각하고 움직이는 게 좋다. 오늘의 결정은 먼 미래 보다는 가까운 미래를 보고 결정함이 옳고 남의 손 보다는 자신의 손을 사용하는 게 더욱 성공 확률이 높다. 사람을 만날 때 동년배와의 만남은 되도록이면 피하는 게 유리하다.,
뱀,이성 친구와 이별하게 될 수 있습니다. 하지만 자신은 이것에 대해 아쉬움과 후회를 남길 수 있으니 어쩌면 관계의 정리와 함께 자신의 애정도 함께 정리하는 것이 이로울 수도 있겠지요. 많은 갈등과 혼란에 빠질 수 있으니 조심해야 하겠습니다.,
뱀,하는 일마다 적잖은 장애가 예상되니 그리 순조로운 운수는 아닙니다. 그러나 곤경 역시 극복할 수 있기에 존재하는 운명의 심술궂은 장난일 뿐입니다. 다만 여느 때보다 매사에 신중한 판단과 세심한 일 처리가 요구되겠지요. 다소 힘든 한 달이 되겠지만 당신의 의지로 충분히 이겨낼 수 있을 것입니다.,
말,"오늘은 나를 도울 수 있으나, 내일은 나를 상대로 경쟁자가 될 수 있는 사람을 만날 수도 있으니, 신중한 대인관계를 맺는 것이 좋을 것이다. 당신의 기발한 아이디어와 실력이 있더라도 내보이지 않는 게 좋겠다. 남의 손에 든 열개의 열매를 탐하게 된다면 당신의 백 가지 열매를 잃을 수 있기 때문이다.",
말,"신용에 약간의 문제가 생길 수 있는데, 차분하게 대처한다면 큰 문제는 아니니 깊이 고심할 필요는 없을 것이다. 새로운 일이 있다면 그리 어려운 일이 아니니 시도하도록 하고, 답답한 일이 있다면 그때 그때 풀어버리면서 자신감을 회복하도록 노력해야 한다. 용이 몸을 풀기 시작하는 하루이겠다.",
말,괜한 자격지심으로 발끈하지 않도록 주의하세요. 때에 따라서는 포기하는 용기도 필요하답니다.,
말,큰 산에 푸른 초목이 우거지는 격이니 여러 조건이 당신에게 유익한 좋은 시기입니다. 좋은 여건이 갖춰져 있는데다가 금상첨화라고 당신의 잠재된 능력이 속속 빛을 발하기 시작합니다. 이전에 계획했던 일들이 충분히 준비가 되었으므로 이제 번창하는 과정의 자잘한 수고들만이 남았습니다.,
양,"너무 앞서가면 실수를 할 수도 있는 날이다. 하고 싶다고 아무 말이나 해서는 안 된다. 주위를 살펴봐도 도와줄 사람이 잘 보이지 않는 상황이니, 침착하게 매 순간을 잘 판단해서 넘어가야 한다. 신중하게 처신한다면 오늘 길하다.",
양,지나친 욕심은 손해를 불러 일으킬 수 있으니 늘 조심하는 게 좋다. 현실을 무시한 계획은 아무 의미가 없으니 사소한 일이라 생각 되더라도 한 번 더 생각하고 움직이는 게 좋겠다. 뜻하지 않은 경쟁자로 인해 조바심이 들 수 있으나 도와주는 사람도 나타나니 일이 순조롭게 진행된다. 뭐니뭐니 해도 겸손해서 해로울 건 없다.,
양,과거에 일어난 일을 잊지 않는 것은 미래에 있을 일의 스승이랍니다. 지난 과거를 지우려하지 마세요. 가급적이면 먼 길을 떠나지 마십시오. 여성은 가족에게 좀 더 관심을 기울여야 합니다.,
양,"안타까움과 아쉬움이 예상되는 한 달입니다. 어쩌면 운명이 당신을 위해 마련한 선물일지도 모르는데, 당신은 그 준비가 충분치 못하니 그냥 사라져 가는 기회를 망연히 바라볼 수밖에 없습니다. 어차피 돌이킬 수 없는 일이라면 이즈음 안일하게 살아가는 당신에게 주는 인생의 따끔한 충고로 여기시기 바랍니다.",
원숭이,적극적이지 못한 태도는 많은 기회를 놓쳐 버릴 수 있음을 명심하고 잊지 말아야겠다. 가뭄에 단비가 내리고 있다. 특히 오늘 사람을 대할 때에는 보다 마음을 열고 대화를 나누기 위해 노력하는 게 좋겠다. 다만 연하의 남성 또는 연상의 연인 과의 만남이 예정되었다면 가급적 피하는 게 유리하다.,
원숭이,사사로운 정에 이끌리지 않도록 공과 사의 구분을 확실히 하는 게 좋겠다. 한편으로는 한가로이 누각에 앉아 시를 읊을 수 있어 좋은 하루가 되겠다. 연애중인 사람이라면 오늘 사랑에 목마른 당신에게 한줄기 빛처럼 희망의 속삭임이 들려올 수도 있겠다.,
원숭이,크든 작든 전환점이 다가오게 될 것입니다. 변화를 두려워하지 마십시오. 비록 적응하는 것에는 어려움을 느낄 수도 있지만 그것은 결국 당신의 삶을 더 긍정적인 방향으로 이끌어 줄 것입니다.,
원숭이,당신이 가진 재능이 뛰어나기는 하지만 태양이 위세를 떨치는 한 낮에 촛불을 켜든 형상이니 알아주는 사람이 없습니다. 직접 나서서 일을 추진하기에는 시기가 적당하지 못합니다. 더 나은 기회가 머지않아 올 터이니 아직은 한 걸음 물러서서 내면을 충실히 채우는 데 주력하시기 바랍니다.,
닭,"처음 시작은 좋으나 전망이 불투명한 상태가 올 수도 있다. 하지만, 초심을 버리지 않고 꾸준히 노력한다면 언젠가는 주변의 사람들이 당신을 인정해주고 성공을 얻는 날이 올 것이다. 기적같이 일이 잘 풀려 도리어 큰 이익을 얻게 될 것이다. 근본이 좋게 시작한 것은 큰 바람에도 흔들림이 없다.",
닭,"당신 앞에 처해 있는 어떤 일을 결정하기에 앞서 먼저 자신의 신변이나 주변부터 정리하는 게 좋다. 중요한 일을 결정하기 위해서는 안정된 분위기에서 차분하게 생각하여 결정 해야 이익이 있을 것이다. 또한, 힘든 일이 생긴다면 주위사람의 도움으로 어려움을 극복할 수 있으니 크게 개의치 않아도 되겠다.",
닭,하는 일이 있다면 더욱 집중을 하고 투자를 하여 확실한 성과를 거둘 수 있도록 하십시오. 다소 무리라고 보이는 것도 젊음이라는 강력한 무기를 갖고 있으니 결국은 해낼 수 있을 것입니다.,
닭,"답답한 한 달입니다. 산 너머 산이라고, 문제가 끊이지 않으니 하는 일이 더디고 진척되는 정도도 미미하고 성과도 기대하기 어려울 것입니다. 겸허하게 마음을 비운 가운데 부단한 인내력이 요구될 것입니다. 큰 욕심일랑 접어 두고 하나하나 이루어 나가는 작은 성과들에서 기쁨을 찾으십시오.",
개,"금전거래에서 신중함과 침착함을 요하는 하루가 될 수 있다. 아는 사람이라도 금전거래는 문서상 증거를 남겨 놓는 게 나중을 위해 좋다. 마음 속에 깊이 간직해 두었던 비밀이 있다면, 오늘이 고비일 수 있으나 인내심을 가지고 지킨다면 능히 원하는 바를 이룰 것이다.",
개,"말로 열 번 하는 것보다 행동으로 한 번 보여주는 게 상대방에게 더 큰 믿음을 줄 수 있다. 실천하지 않은 상황에서 입 만으로는 아무것도 이룰 수 없다. 예술인은 세상에 이름을 알릴 기회를 만날 수 있으며, 주부는 자식 문제로 외출 할 일이 생긴다.",
개,행복한 가족들은 서로 닮은 데가 많습니다. 그만큼 서로를 배려하고 이해하기 때문이랍니다. 가족과 함께 단란한 한 주를 보내십시오. 여유를 즐기는 한 주입니다.,
개,운명이 내린 시련으로 험한 산 중을 헤맸지만 이제 길이 보입니다. 지난 운명의 사슬에서 완전히 자유로운 것은 아니지만 목표를 분명히 하고 한 길로 매진한다면 반드시 뜻한 바를 이루게 될 것입니다. 작으나마 당신에게 주어지는 기회가 있으니 활기찬 한 달을 기대할 수 있을 것입니다.,
돼지,모든걸 내려놓고 힘들고 어려움을 각오하면 오히려 매우 평안한 날이 될 것이다. 사람을 만날 때에는 조심스럽게 대하여서 감정 상하지 않도록 하라. 마음이 맑고 깨끗하면 사마가 접근을 하지 못 할 것이다. 간간이 재운이 있으니 기분이 좋다.,
돼지,물건을 팔고 사는 것도 순리대로 해야만 나중에 뒷말이 없는 날이다. 너무 많은 이익도 필요 없고 너무 많은 손해도 필요가 없다. 세상은 사람들과 더불어 살아가는 것이란 말을 상기해야 한다. 순리의 기운이 중요하게 작용함을 잊지 말라.,
돼지,지조를 지키는 것이 중요한 한 주입니다. 상황에 따라 자꾸만 입장을 바꾸면 사람들은 곧 당신을 변덕쟁이 취급하게 될 것입니다. 박쥐의 우화가 우리에게 알려주듯 언제고 그 대가를 치르게 됩니다.,
돼지,무료함이 당신을 세상 속으로 떠밀어내는 한 달이 예상됩니다. 문 밖을 나서야 활기를 얻을 수 있는 운수이니 자리를 떨치고 일어나 생활에 적극적으로 뛰어들 수 있어야 할 것입니다. 다양한 일을 벌이고 시도해 보시기 바랍니다. 당신이 기대하는 이상으로 만족스런 결실을 거둘 수 있을 것입니다.,
